SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Office 365 SharePoint and Search Administration,Monitor Apps,, Monitor information such as app usage and error information for the apps that are in use in your SharePoint Online environment. ,Monthly,,,,,https://docs.microsoft.com/en-us/sharepoint/monitor-apps
Office 365 SharePoint and Search Administration,Remove an app,,Deletes the app that is no longer required,As Required,,,,,https://support.office.com/en-us/article/Remove-an-app-from-a-site-03198D1B-C33B-498D-9469-AF641A587D6C
Office 365 SharePoint and Search Administration,Restore a deleted site Collection,,The deleted site is restored from the recycle bin or from the backup file,As Required,,,,,https://docs.microsoft.com/en-us/sharepoint/restore-deleted-site-collection
Office 365 SharePoint and Search Administration,Delete a site collections,,The site collections will be deleted and stored in recycle bin,As Required,,,,,https://docs.microsoft.com/en-us/sharepoint/delete-site-collection
Office 365 SharePoint and Search Administration,Change resource usage quotas for a site collection,,The server resource quota specifies how many resources should be allocated to each site collection within a tenant. ,As Required,,,,,https://docs.microsoft.com/en-us/sharepoint/manage-site-collection-storage-limits
Office 365 SharePoint and Search Administration,Add Term Store,,Add new term store,As Required,,,,,https://docs.microsoft.com/en-us/sharepoint/manage-site-collection-storage-limits
Office 365 SharePoint and Search Administration,Create the publishing column,,Creates a publishing column to be used in content type or library,As Required,,,,,https://support.office.com/en-us/article/Add-publishing-columns-to-content-types-lists-or-libraries-4E268D2E-4822-4BC6-A992-88287119A052
Office 365 SharePoint and Search Administration,Manage Site Content types,,"Create/edit  content types and add these to lists and libraries at the site level on which you created them, in addition to lower-level sites",As Required,,,,,https://support.office.com/en-US/article/Introduction-to-content-types-and-content-type-publishing-E1277A2E-A1E8-4473-9126-91A0647766E5#__toc323556722
Office 365 SharePoint and Search Administration,Manage Regional settings,,"Manage/change the time zone, locale calendar, them format for a site collection",As Required,,,,,https://support.office.com/en-us/article/Change-regional-settings-for-a-site-E9E189C7-16E3-45D3-A090-770BE6E83C1A
Office 365 SharePoint and Search Administration,Manage Language settings,,Manage/change the site alternative language and site translations,As Required,,,,,https://support.office.com/en-US/article/Choose-the-languages-you-want-to-make-available-for-a-site-s-user-interface-16D3A83C-05AB-4B50-8FBB-FF576A3351E8
Office 365 SharePoint and Search Administration,"O365 SharePoint Roadmap, changes to the current features and functionality",,Review the current features and functionality roadmap to determine how they might apply to NYL and actions that require attention,Monthly,,,,,https://products.office.com/en-US/business/office-365-roadmap
Office 365 Skype for Business Administration,Check Skype for Business Online service status,,Check the Skype for Business Online service status in O365 portal,Daily,,,,,https://docs.microsoft.com/en-us/office365/servicedescriptions/office-365-platform-service-description/service-health-and-continuity
Office 365 Skype for Business Administration,Configure presence privacy mode (Determine who can view a Skype for Business user’s presence status),,Configure presence privacy mode setting to control over the default level of presence information shared by users in their organization,As Required,,,,,https://docs.microsoft.com/en-us/SkypeForBusiness/set-up-skype-for-business-online/configure-presence-in-skype-for-business-online
Office 365 Skype for Business Administration,Customize meeting invitations,,customize meeting invitations sent by the Online Meeting,As Required,,,,,https://docs.microsoft.com/en-us/SkypeForBusiness/set-up-skype-for-business-online/customize-meeting-invitations
Office 365 Skype for Business Administration,Manage federation,,manage federation with external domains,As Required,,,,,https://docs.microsoft.com/en-us/SkypeForBusiness/set-up-skype-for-business-online/allow-users-to-contact-external-skype-for-business-users
Office 365 Skype for Business Administration,Manage public IM Service,,manage federation with public IM provider,As Required,,,,,https://docs.microsoft.com/en-us/SkypeForBusiness/set-up-skype-for-business-online/allow-users-to-contact-external-skype-for-business-users
Office 365 Skype for Business Administration,Check your network for Skype for Business online,,Help customer check Ips/URLs on the network devices for accessing Skype for Business Online,As Required,,,,,https://docs.microsoft.com/en-us/office365/enterprise/urls-and-ip-address-ranges
Office 365 Skype for Business Administration,"Configure mobile phone notifications (Choose a push notification service for Windows Phone, iPhone, and iPad, or disable notifications)",,"Choose a push notification service for Windows Phone, Android, iPhone, and iPad, or disable notifications",As Required,,,,,https://docs.microsoft.com/en-us/SkypeForBusiness/set-up-skype-for-business-online/turn-on-or-off-mobile-phone-notifications
Office 365 Skype for Business Administration,Configure settings for individual users (A/V),,Conduct audio and video conversations using Skype for Business,As Required,,,,,https://docs.microsoft.com/en-us/skypeforbusiness/set-up-skype-for-business-online/configure-skype-for-business-settings-for-individual-users
Office 365 Skype for Business Administration,Configure settings for individual users (Recording),,Record calls and meetings,As Required,,,,,https://docs.microsoft.com/en-us/skypeforbusiness/set-up-skype-for-business-online/configure-skype-for-business-settings-for-individual-users
Office 365 Skype for Business Administration,Configure settings for individual users (Anonymous attendee dial-out),,Configures anonymous attendee callout for the individual user,As Required,,,,,https://docs.microsoft.com/en-us/skypeforbusiness/set-up-skype-for-business-online/configure-skype-for-business-settings-for-individual-users
Office 365 Skype for Business Administration,Configure settings for individual users (Disable non-archived features),,"Disable sending files in an instant message, sharing OneNote notes during a meeting, and PowerPoint annotations added during a meeting",As Required,,,,,https://docs.microsoft.com/en-us/skypeforbusiness/set-up-skype-for-business-online/configure-skype-for-business-settings-for-individual-users
Office 365 Skype for Business Administration,The Peer-to-peer sessions report in Skype for Business Online.,,Generate report for Peer to peer sessions,As Required,,,,,https://docs.microsoft.com/en-us/SkypeForBusiness/skype-for-business-online-reporting/peer-to-peer-activity-report
Office 365 Skype for Business Administration,The Conferences report in Skype for Business Online.,,Generate report for conferencing details,As Required,,,,,https://docs.microsoft.com/en-us/SkypeForBusiness/skype-for-business-online-reporting/conference-participant-activity-report
Office 365 Skype for Business Administration,The Active users report in Skype for Business Online,,Generate report for active users for Skype for Business Online,As Required,,,,,https://docs.microsoft.com/en-us/SkypeForBusiness/skype-for-business-online-reporting/activity-report
Office 365 Skype for Business Administration,The Audio minutes and Video minutes report in Skype for Business Online,,Generate report for audio and Video time on Skype for Business online,As Required,,,,,https://support.office.com/en-us/article/Skype-for-Business-Online-reporting-4935cddf-fafa-442d-91a3-246af01f8373
Office 365 Skype for Business Administration,The Audio minutes and Video minutes report in Skype for Business Online,,Generate Audio minutes and Video minutes report in Skype for Business Online,As Required,,,,,https://support.office.com/en-us/article/Skype-for-Business-Online-reporting-4935cddf-fafa-442d-91a3-246af01f8373
Office ProPlus,Manage Office Deployment Tool,,"Install, maintain, and upgrade ODT as necessary",As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/overview-of-the-office-2016-deployment-tool
Office ProPlus,Configure Office Deployment Tool settings,,Modify settings that are controlled from within ODT for Office ProPlus deployments,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/configuration-options-for-the-office-2016-deployment-tool
Office ProPlus,Define GPO Policies for Office ProPlus ,,Define the GPO policies that will be pushed to end users to control Office ProPlus configurations,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/configure-update-settings-for-office-365-proplus
Office ProPlus,Create GPO Policies for Office ProPlus ,,Create the GPO policies that are defined to control Office ProPlus configurations,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/configure-update-settings-for-office-365-proplus
Office ProPlus,Push Office ProPlus GPO policies to end users,,Push created Office ProPlus GPO Policies to required systems,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/configure-update-settings-for-office-365-proplus
Office ProPlus,Configure software download settings in O365 Admin,,Done via Global Admin Rights,Yearly,,,,,https://docs.microsoft.com/en-us/deployoffice/manage-software-download-settings-office-365
Office ProPlus,Review upcoming release information for new Office ProPlus deployments,,Review the upcoming changes to O365 ProPlus for features and functionality for impact and actions that require attention,Monthly,,,,,https://docs.microsoft.com/en-us/DeployOffice/overview-of-update-channels-for-office-365-proplus
Office ProPlus,Download Office ProPlus package,,,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/deployment-guide-for-office-365-proplus
Office ProPlus,Prepare Office ProPlus Package,,,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/deployment-guide-for-office-365-proplus
Office ProPlus,Test Office ProPlus Package,,,As Required,,,,,
Office ProPlus,Download Office ProPlus updates,,,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/deployment-guide-for-office-365-proplus
Office ProPlus,Prepare Office ProPlus updates for distribution,,,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/deployment-guide-for-office-365-proplus
Office ProPlus,Distribute Office ProPlus updates,,,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/deployment-guide-for-office-365-proplus
Office ProPlus,Deploy Office ProPlus Package - Windows,,,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/deployment-guide-for-office-365-proplus
Office ProPlus,"Deploy Office ProPlus Package - MAC
",,,As Required,,,,,https://docs.microsoft.com/en-us/DeployOffice/deployment-guide-for-office-365-proplus
Office ProPlus,Deploy Office ProPlus Apps to Mobile devices,,Leveraging App Store for updates,As Required,,,,,https://support.office.com/en-us/article/Set-up-Office-apps-and-email-on-a-mobile-device-7dabb6cb-0046-40b6-81fe-767e0b1f014f?ui=en-US&rs=en-US&ad=US
Office ProPlus,"Office ProPlus Channel specific release information, changes to the current features and functionality",,Review the current features and functionality release by channel to determine how they might apply and actions that require attention,Monthly,,,,,https://docs.microsoft.com/en-us/officeupdates/release-notes-office365-proplus
OneDrive Administration,Review OneDrive usage and activity reports,,"Report helps you understand storage and sharing activity across OneDrive for Business, including number and size of files stored, in aggregate and per user",As Required,,,,,https://blogs.office.com/en-us/2016/04/08/new-usage-reports-for-sharepoint-onedrive-yammer-and-skype-now-available/
OneDrive Administration,Manage sync client version,,Release updates to the Windows clients through single rings of validation,As Required,,,,,https://docs.microsoft.com/en-us/onedrive/sync-client-update-process
OneDrive Administration,Configure sync client for macOS,,"Release updates to the MacOS clients through single rings of validation
",As Required,,,,,https://docs.microsoft.com/en-us/onedrive/deploy-and-configure-on-macos
OneDrive Administration,Administer settings for sync client,,"configuring the settings to allow syncing for specific domains, block syncing of specific file types, etc.",As Required,,,,,https://docs.microsoft.com/en-us/onedrive/use-group-policy
OneDrive Administration,Prevent users from installing the OneDrive sync client,,Manage the rollout of the sync client to your organization by hiding the sync button on the OneDrive website,As Required,,,,,https://docs.microsoft.com/en-us/onedrive/use-group-policy
OneDrive Administration,Sync OneDrive with new sync client,,New OneDrive sync client lets you connect and sync files from your OneDrive for Business and from SharePoint sites. You can add a work or school account to the OneDrive sync client and sync all your files to your computer,As Required,,,,,https://support.office.com/en-us/article/Get-started-with-the-new-OneDrive-sync-client-in-Windows-615391c4-2bd3-4aae-a42a-858262e42a49
OneDrive Administration,Sync SharePoint files using OneDrive sync client,,Sync your SharePoint Online files to a folder on your computer where you can work directly in File Explorer and access the files even when you're offline,As Required,,,,,https://support.office.com/en-us/article/Sync-SharePoint-files-with-the-new-OneDrive-sync-client-6de9ede8-5b6e-4503-80b2-6190f3354a88
OneDrive Administration,Redirect known folders to OneDrive for business,,Redirect Windows known folders (such as Documents) to the OneDrive for Business sync location for the users in your domain,As Required,,,,,https://docs.microsoft.com/en-us/onedrive/redirect-known-folders
OneDrive Administration,Manage Ports/URLs for OneDrive,,Fully Qualified Domain Names (FQDNs) and ports that you should include in your outbound allow lists to ensure your computers can successfully use the consumer version of OneDrive,As Required,,,,,https://docs.microsoft.com/en-us/onedrive/required-urls-and-ports
OneDrive Administration,"O365 OneDrive Roadmap, changes to the current features and functionality",,Review the current features and functionality roadmap to determine how they might apply and actions that require attention,Monthly,,,,,https://products.office.com/en-US/business/office-365-roadmap
Power App,Create an Environment,,"An environment is a space to store, manage, and share your organization’s business data, apps, and flows. It also serves as a container to separate apps that may have different roles, security requirements, or target audiences. PowerApps automatically creates a single default environment for each tenant, which is shared by all users in that tenant.",As Required,,,,,https://docs.microsoft.com/en-us/power-platform/admin/create-environment
Power App,Create a Database,,create a database and build apps by using Common Data Service as a data store. You can either create your own custom entities or use the predefined entities,As Required,,,,,https://docs.microsoft.com/en-us/power-platform/admin/create-database
Teams Administration,Turn on Microsoft Teams for organization,,Enable Microsoft Teams for your organization,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/enable-features-office-365
Teams Administration,Manage Ports/URLs for Teams,,Fully Qualified Domain Names (FQDNs) and ports that you should include in your outbound allow lists to ensure your computers can successfully use the consumer version of OneDrive,As Required,,,,,https://docs.microsoft.com/en-us/office365/enterprise/urls-and-ip-address-ranges
Teams Administration,Download Teams installer,,Download the installers for Microsoft Teams Windows and Mac desktop clients - this can also be done via the client distribution tools,As Required,,,,,https://teams.microsoft.com/downloads
Teams Administration,Manage User access to Microsoft Teams licenses,,Add or Remove licenses from users for Microsoft Teams,As Required,,,,,https://docs.microsoft.com/en-us/microsoftteams/user-access
Teams Administration,Configure Microsoft Teams tenant-wide General settings,,"Configure org chart visibility, Skype for Business for recipients, and T-bot proactive help messages",As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/enable-features-office-365
Teams Administration,Configure Microsoft Teams tenant-wide Email Integration,,"Configure allowing users to send emails to channels, and restricted senders list by domain",As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/enable-features-office-366
Teams Administration,Configure Microsoft Teams tenant-wide Apps,,Configure allowing external apps in Microsoft Teams and sideloading of external apps,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/enable-features-office-367
Teams Administration,Configure Microsoft Teams tenant-wide Customer Cloud Storage,,"Configure the custom cloud storage options for Box, Dropbox, Google Drive, and ShareFile",As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/enable-features-office-368
Teams Administration,"Create a Microsoft Teams' team, assign owners, and members",,"Create a Microsoft Teams' team via O365 Groups, define owners and members",As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/assign-roles-permissions
Teams Administration,Grant permissions to create O365 Groups,,Control who can create O365 Groups via PowerShell ,As Required,,,,,https://docs.microsoft.com/en-us/office365/admin/create-groups/manage-creation-of-groups
Teams Administration,Configure Microsoft Teams Calls and Meetings,,Configure Call and meeting capabilities,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/enable-features-office-365
Teams Administration,Configure Microsoft Teams Messaging,,Configure Messaging capabilities and the availability of media,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/enable-features-office-365
Teams Administration,Configure Microsoft Teams O365 Connections,,"Allow your Microsoft Teams users to receive updates from popular services such as Twitter, Trello, Wunderlist, GitHub, and VSTS within the chat stream in their team",As Required,,,,,https://docs.microsoft.com/en-us/microsoftteams/platform/concepts/connectors/connectors-using
Teams Administration,"O365 Microsoft Teams Roadmap, changes to the current features and functionality",,Review the current features and functionality roadmap to determine how they might apply and actions that require attention,Monthly,,,,,https://products.office.com/en-US/business/office-365-roadmap
Teams Administration,Configure Teams to chat and communicate with another Teams organization,,Allow Teams users to chat and communicate with users in another Teams organization,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/let-your-teams-users-communicate-with-other-people
Teams Administration,Configure inline message translation in Microsoft Teams,,Inline message translation feature lets users automatically translate Teams messages into the language specified by their personal language settings for Office 365,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/inline-message-translation-teams
Teams Administration,Configure Microsoft Teams scoped directory search,,Microsoft Teams scoped directory search allows organizations to create virtual boundaries that control how users can find and communicate with other users in their organization.,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/teams-scoped-directory-search
Teams Administration,Manage meeting policies in Teams,,Meeting policies are used to control the features that are available to meeting participants for meetings that are scheduled by users in your organization.,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/meeting-policies-in-teams
Teams Administration,Manage meeting settings in Microsoft Teams,,"Configure Teams meetings settings to control whether anonymous users can join Teams meetings, customize meeting invitations, and if you want to enable Quality of Service (QoS), set port ranges for real-time traffic.",As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/meeting-settings-in-teams
Teams Administration,Customize meeting invitations in Microsoft Teams,,"Configure Microsoft Teams meeting invitations to include some helpful information your users might need, such as links to your support website and legal disclaimer, your company logo, and other text you want to include.",As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/customize-meeting-invitations
Teams Administration,Enable users to record their name when they join a meeting in Microsoft Teams,,Configure whether callers should record their name when joing a meeting through a conference bridge. ,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/enable-users-to-record-their-name-when-they-join-a-meeting-in-teams
Teams Administration,Configure setting meeting join options,,Turn on or off entry and exit announcements for meetings in Microsoft Teams,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/turn-on-or-off-entry-and-exit-announcements-for-meetings-in-teams
Teams Administration,Configure desktop sharing in Microsoft Teams,,Configure desktop sharing during a meeting including sharing with external and anonymous users,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/configure-desktop-sharing
Teams Administration,Set up Teams cloud meeting recording,,"Configure Microsoft Teams so users can record their Teams meetings and group calls to capture audio, video, and screen sharing activity. ",As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/cloud-recording
Teams Administration,Set up Audio Conferencing for Microsoft Teams,,Configure audio conferencing so users can call in meetings without using the Teams app.,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/set-up-audio-conferencing-in-teams
Teams Administration,Set auto attendant languages for Audio Conferencing in Microsoft Teams,,Configure the conferencing auto attendant languages,As Required,,,,,https://docs.microsoft.com/en-us/MicrosoftTeams/set-auto-attendant-languages-for-audio-conferencing-in-teams
Windows Defender Application Control,Generate WDAC reports for SMO Team,,"Generate periodic reports using pre-defined KQL queries in the Defender portal Advanced Hunting section, then send the exported reports to SMO Team for review. This includes a Publisher report and a Hash report",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,Generate WDAC reports for ongoing BAU management,,"Generate periodic reports using pre-defined KQL queries in the Defender portal Advanced Hunting section, then store the expored reports for use in support of ongoing WDAC management activities",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,SMO Team review of WDAC reports,,"SMO Team review of the reports created in the 'Generate WDAC reports for SMO Team' task, returning the reports with any SMO decision on WDAC rule changes needed",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,Field queries from SMO Team on WDAC report contents,,"Answer queries from SMO Team in terms of the WDAC reports provided to them, such as potential data issues or inconsistencies",Ad hoc,,,,,
Windows Defender Application Control,Review new 'Issuers' for previously approved WDAC publishers,,"Review the detailed publisher KQL report generated in the 'Generate WDAC reports for ongoing BAU management' task to identify any new Issuers (or existing Issuers for which an 'IssuerTBSHash' value has now been captured) for publishers which have already been approved by SMO, so that additional WDAC rules can be added to cover these new combinations",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,Manage the WDAC rule decision log,,"Receive decisions from SMO Team on new WDAC rules per the 'SMO Team review of WDAC reports' task, incorporate output from the 'Review new signers for previously approved publishers' tank, and update the decision log accordingly using information also from the 'Generate WDAC reports for ongoing BAU management' task",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,"Update WDAC KQL lists and queries to incorporate rule decisions
",,"Update the lists and the associated WDAC KQL reports they underpin, without which it would not be clear which software has already been assessed and which is new",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,SMO Team request for change to WDAC KQL report format,,"SMO Team request for a change to be made to one of the regular WDAC KQL reports they receive, such as the capture of more detailed information (for example specific hostnames relating to an executable file)",Ad hoc,,,,,
Windows Defender Application Control,SMO Team request for ad-hoc WDAC KQL query to answer a specific question,,SMO Team request for an ad-hoc WDAC KQL query to provide additional data insupport of coming to a specific rule decision - or alternatively the ability for the SMO Team to directly run such queries themselves,Ad hoc,,,,,
Windows Defender Application Control,"Update or create new KQL queries/reports to improve WDAC process effectiveness and efficieny, or to address specific questions
",,"Identify through use and lessons learned opportunities to improve the existing WDAC KQL ad-hoc queries and formal reports so that the WDAC processes can be made more effective and efficient, and then updating/creating accordingly - including responding to the need for ad-hoc queries by SMO Team",Ad hoc,,,,,
Windows Defender Application Control,Version and naming control on the WDAC policies and associated PowerShell scripts and KQL queries,,"Version and naming control across all WDAC technical artefacts - in particular WDAC policies, PowerShell scripts, and KQL queries - as they change over time, including ensuring that WDAC policy bundles (a base policy with one or more supplemental policies) are aligned in terms of their policy version iteration within the policy name for analytics purposes.
",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,Generate new WDAC policies to incorporate rule change decisions,,"Generate new WDAC policies based on changes in the WDAC rule decision log or from elsewhere, including potentially four eyes validation for significant changes. This can include new versions of existing policies, or completely new policies such as when rules need to be targeted to only a subset of the business. First the XML version of a policy is updated with the rule changes, and then a PowerShell command is run to generate the compiled verison of the policy which is actually to be deployed.",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,Test new WDAC policies and PowerShell scripts prior to wider release,,Apply the new compiled WDAC policy files or updated PowerShell scripts to a test device to ensure that there is no service impacting regression,Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,"Propose & agree structure changes for targeting WDAC policies and configuration
",,"Based on lessons learned agree changes to the structure of the targeting of WDAC policies and configuration to different user populations, including such things as the need for supplemental WDAC policies targeted only to specific device groups based on user roles (eg. to allow restricted software), or Managed Installers such as dev tools which should only target developer devices.",Ad hoc,,,,,
Windows Defender Application Control,Create new AD groups for targeting of WDAC policies and associated PowerShell scripts,,"Create new on-prem AD groups (synced to Azure AD) necessary to support the desired/sensible structure for targeting WDAC policies and configuration to different user populations, following on from the 'Agree proposed structure changes for targeting WDAC policies and configuration' task",Ad hoc,,,,,
Windows Defender Application Control,Add/remove devices from WDAC AD groups,,"Add and remove Win 10 devices in relation to different WDAC AD groups in order to change the targeting of WDAC policies and configuraiton, including potentially adding devices to rollback groups which result in removal of the policies/configuraiton in the event of service impacts.",Ad hoc,,,,,
Windows Defender Application Control,Create new Intune policies for the application of new WDAC policies and associated PowerShell scripts,,"Create new Intune policies of 'Configuration profile' Custom OMA-URI type for the application of new WDAC policies, and new Intune policies of 'Script' type for delivery of associated PowerShell scripts, aligned to the targeting of policies and configuration through AD groups per the 'Create new AD groups for targeting of WDAC policies and associated PowerShell scripts' task",Ad hoc,,,,,
Windows Defender Application Control,Update existing Intune policies for the application of updated versions of WDAC policies and associated PowerShell scripts,,"Update existing Intune policies of 'Configuration profile' Custom OMA-URI type to upload revised versions of WDAC policies, and existing Intune policies of 'Script' type to upload revised versions of PowerShell scripts",Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,Monitor success of WDAC policy and associated configuration deployment,,Review dashboards in Intune and run KQL reports in Defender portal to monitor the success or otherwise of WDAC policy and associated configuration deployment,Weekly/Fortnightly TBD,,,,,
Windows Defender Application Control,Troubleshoot WDAC policy and associated configuration deployment,,"Troubleshoot failed WDAC policy and associated configuration deployment, or endpoint issues which are perceived to be caused by such deployments, including carrying out troubleshooting activies in Intune and on the endpoints themselves",Ad hoc,,,,,
Windows Defender Application Control,Triage user tickets relating to software blocked by WDAC,,"As is currently done for AppLocker, triage user tickets that come into ServiceNow helpdesk relating to software which is being blocked, including running KQL queries in Defender portal to view the block events for the Win 10 device in question, determining which specific events relate to the software the user wants to run, and then initiating the SMO Team process to seek approval one or more new WDAC rules to be created",Ad hoc,,,,,
Windows Defender Application Control,IT request for WDAC rules for new software not being deployed by approved Managed Installers,,As not all software is deployed through SCCM or Intune (the two tools currently approved as WDAC Managed Installers) there will be a need for ad-hoc IT requests to be raised for WDAC rules for new software not being deployed through those routes once it has been identified that the software is not fully permitted to run by the existing WDAC policy,Ad hoc,,,,,
Windows Defender Application Control,SMO Team review of ad-hoc requests for WDAC rules,,SMO Team to review and provide a decision on the ad-hoc requests for WDAC rules that come out of either the 'Triage user tickets relating to software blocked by WDAC' task or the 'IT request for WDAC rules for new software not being deployed by approved Managed Installers' task,Ad hoc,,,,,
Windows Defender Application Control,Run commands on local workstations when Defender events are inadequate for WDAC triage,,"In the rare instance when triaging WDAC blocks per the 'Triage user tickets relating to software blocked by WDAC' task that the Defender portal events are not adequate to support the creation of the necessary rules there may be a need to run WDAC-related PowerShell commands to analyse files locally on a workstation - one potential instance being where page hashes are in use on blocked files (a scenario not yet seen), as page hash values are not captured in the Defender events",Ad hoc,,,,,
Windows Defender Application Control,Raise tickets with Microsoft support for any WDAC functional or event issues/bugs,,Raise tickets with Microsoft support for any issues or potantial bugs which cannot be rectified through configuration changes - an example of this seen thus far has been Defender portal not properly capturing certain WDAC events or displaying data fields in certain edge cases,Ad hoc,,,,,
Windows Defender Application Control,Raise need for new/changed WDAC Managed Installers for software deployment purposes,,"SCCM and Intune are set as the two current approved WDAC Managed Installers (ie. any software deployed by these is acutomatically trusted by WDAC without an explicit WDAC rule), with their executable filename present in a specific configuraiton setting deployed to endpoints. If the executable file name changes for either of these, or if further software deployment tools need to be added to the Managed Installer list, there will be a need to request that an update to this configuration be made, which will then require appriopriate approvals before actioning",Ad hoc,,,,,
Windows Defender Application Control,Raise need for new/changed WDAC Managed Installers for software development purposes,,"Due to the need for developers to be able to execute their own unsigned code on thier workstations as part of the development process the tools that they use to create those executables/DLLs (eg. link.exe within Visual Studio) will need to be designated as Managed Installers on developer workstations. As this tooling will change over time there will be a need to request that an update to this Managed Installer configuration be made, which will then require appriopriate approvals before actioning",Ad hoc,,,,,
Windows Defender Application Control,Update PowerShell scripts to incorporate new/changed WDAC Managed Installers,,Update PowerShell scripts to incorporate new/changed WDAC Managed Installers off the back of the 'Raise need for new/changed WDAC Managed Installers for software deployment purposes' task or 'Raise need for new/changed WDAC Managed Installers for software development purposes' task,Ad hoc,,,,,
Windows Defender Application Control,Sign-off on use of WDAC Path rules or other fundamental rule approach changes,,"The use of WDAC Path rules is not as yet decided upon per the Rule Principles section 6.3 of the WDAC HLD, and is dependent on the outcome of the broad WDAC audit-mode data capture and analysis exercise and the practicality of relying on only Publisher and Hash rules. Use of any Path rules would require special sign-off due to their less granular nature which has particular ramifications for EP2/3 users who could install software into those paths.",Ad hoc,,,,,
Windows Defender Application Control,Maintain/update WDAC design documentation,,Ensure the WDAC design documentation remains up to date in terms of approach taken,Ad hoc,,,,,
Windows Defender Application Control,Maintain/update WDAC BAU process documentation,,Ensure the WDAC process documentation remains up to date in terms of approach taken,Ad hoc,,,,,
Windows Defender Application Control,Identify and assess any new Microsoft root certificates for addition to WDAC base policies,,"Periodically identify and assess any new Microsoft root certificates that should be incorporated into base policies as Microsoft transitions from older certificates to newer. Such additional roots can be identified by running the latest version of the Microsoft WDAC Wizard tool, generating base policy and reviewing the root publisher rules in it against those within the bank base policies to identify any new rules to be added",Monthly/Quarterly TBD,,,,,
Windows Defender Application Control,Identify and assess any new Microsoft-recommended explicit WDAC block rules for commonly abused Microsoft applications,,"Periodically identify and assess any new Microsoft-recommended explicit WDAC block rules for Microsoft applications that can be abused by threat actors to bypass application whitelisting controls such as WDAC. Such rules can be identified by running the latest version of the Microsoft WDAC Wizard tool and reviewing the output when enabling the 'Merge with Recommended User Mode Block Rules' option. Consideration would then need to be made as to how such new rules could be introduced safely, noting that some of these apps may be in legitimate use in the bank",Monthly/Quarterly TBD,,,,,
Windows Defender Application Control,Identify and assess any new Microsoft-recommended explicit WDAC block rules for known-malicious or vulnerable drivers,,Periodically identify and assess any new Microsoft-recommended explicit WDAC block rules for known-malicious or vulnerable drivers. Such rules can be identified by running the latest version of the Microsoft WDAC Wizard tool and reviewing the output when enabling the 'Merge with Recommended Kernel Block Rules' option,Monthly/Quarterly TBD,,,,,
Windows Defender Application Control,WDAC periodic service review meeting,,Recurring meetings between stakeholders in the WDAC service to ensure continued alignment,Monthly/Quarterly TBD,,,,,
Windows Defender Application Control,Security operations review of WDAC block events,,"In the event that SOC is running a monitoring use case relating to WDAC block events those event would require periodic review, involving activities in Sentinel and/or Microsoft 365 Defender portal. Many WDAC block events could be down to software which while unapproved is not malicious, so a SOC review approach would need to take into account all scenarios",Daily/Weekly TBD,,,,,
